id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25263845,Private Room with a Majestic View,22825646,Dmitriy,Manhattan,Washington Heights,40.85137,-73.94066,Private room,,30,4,2018-09-23,0.05,1,0,0,
25264664,"Stunning, Sunny Tribeca Loft",27953442,Holly,Manhattan,Civic Center,40.7167,-74.00226,Entire home/apt,999,30,4,2022-08-04,0.06,1,64,0,
25274961,Beautiful cozy Room,37842947,Heena,Queens,Woodside,40.75407,-73.9019,Private room,125,30,4,2021-09-05,0.05,1,83,0,
25277702,Apartment in Midtown close to Bloomingdales,88465311,Ted,Manhattan,Midtown,40.75889,-73.96084,Entire home/apt,275,30,2,2023-05-03,0.09,1,178,0,
25280641,Charming 1BR Apartment in the heart of The Village,10240682,Tiffany,Manhattan,Greenwich Village,40.73088,-74.00028,Entire home/apt,,30,6,2019-06-16,0.08,1,0,0,
25284006,Beautiful loft with plants and light,10671495,Dora,Brooklyn,Williamsburg,40.70641,-73.93754,Entire home/apt,,30,73,2024-01-03,0.94,1,0,1,
25285159,Sunny Bedroom in Brooklyn,3734323,Colin,Brooklyn,Bushwick,40.68862,-73.91215,Private room,,30,5,2018-08-26,0.06,2,0,0,
25289848,Nice 2 bedrooms apartment in Bed-Stuy,785940,Adriana,Brooklyn,Bedford-Stuyvesant,40.6845,-73.95537,Entire home/apt,,30,4,2019-02-17,0.05,1,0,0,
25293702,Cozy (☆) Room In Upper Manhattan  (♥),110191144,Mamadou,Manhattan,Harlem,40.82188,-73.95509,Private room,,30,20,2019-10-22,0.26,1,0,0,
25293994,Upper East Side one bedroom in elevator building,44539148,Kaitlyn,Manhattan,Upper East Side,40.76775,-73.95436,Entire home/apt,,30,6,2018-09-18,0.08,1,0,0,
25294851,"Quirky, Cozy 1 Bedroom Garden level Apt.",82921923,Tracy,Brooklyn,Bushwick,40.68736,-73.91445,Entire home/apt,86,30,51,2024-10-15,1.57,1,147,2,
25296394,NYC Hideaway Urban Suite,191085997,Christopher,Bronx,Pelham Bay,40.85496,-73.82958,Entire home/apt,195,30,5,2020-12-30,0.07,2,363,0,
25313204,Charming Apartment in Brooklyn,8792814,Carlene,Brooklyn,Bedford-Stuyvesant,40.6927,-73.94513,Entire home/apt,77,30,179,2024-10-16,2.31,9,345,3,
25313748,Luxury Condo 45th fl Manhattan view @Times Square,10106740,David,Manhattan,Hell's Kitchen,40.75778,-73.99327,Entire home/apt,,30,24,2022-11-26,0.32,1,0,0,
25315860,A beautiful Room In A Safe Sheepshead Bay Area.,179661186,Mirjam,Brooklyn,Sheepshead Bay,40.60078,-73.95111,Private room,,30,8,2020-01-03,0.12,2,0,0,
25316571,Great in Greenpoint,29700603,Shari,Brooklyn,Greenpoint,40.7268,-73.95183,Entire home/apt,,30,2,2021-04-30,0.03,1,0,0,
25317793,Awesome Cozy Room in The Heart of Sunnyside!,136406167,Kara,Queens,Sunnyside,40.74104,-73.92636,Private room,60,30,53,2024-08-25,0.68,1,168,2,
25319136,Elegant 2brm 2bath Loft . Terrace,4399103,James,Manhattan,SoHo,40.72644,-74.0006,Entire home/apt,350,30,87,2024-09-29,1.12,3,300,6,
25321050,Private Room # 4.,43825074,Masud,Brooklyn,Cypress Hills,40.684,-73.87843,Private room,35,30,3,2024-07-31,0.06,5,153,1,
25325029,Bushwick Room with a View,24327574,Shadi,Brooklyn,Bushwick,40.69761,-73.92179,Private room,,30,20,2018-10-22,0.26,1,0,0,
25328184,Bedstuy Stay! Peaceful Two Bed Garden Apartment.,1417893,Ingrid,Brooklyn,Bedford-Stuyvesant,40.68786,-73.92713,Entire home/apt,,30,153,2024-08-03,1.96,1,17,1,
25340524,Heart of Gramercy: Quiet & Spacious Studio,2053735,Kat,Manhattan,Gramercy,40.73655,-73.98787,Entire home/apt,345,30,91,2024-10-17,1.17,1,106,2,
25342124,Private Room near Central Park,7249636,Dima,Manhattan,Upper West Side,40.76937,-73.98579,Private room,,30,203,2020-11-30,2.59,1,0,0,
